# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  129       4.928483371215e-10       1.464888681684e-13      -5.452641127451e-12       0.000000000000e+00       5.114576329264e-12       8.187474651573e-13      -5.227747846619e-15 
  130       4.975150898033e-10       1.471730071591e-13      -5.513576284900e-12       0.000000000000e+00       5.005719168534e-12       8.052079648281e-13      -5.152093504185e-15 
  131       5.021832451075e-10       1.477934112070e-13      -5.572453982543e-12       0.000000000000e+00       4.899973056867e-12       7.919986187879e-13      -5.077030714619e-15 
  132       5.068515598177e-10       1.483494371610e-13      -5.629206280738e-12       0.000000000000e+00       4.797224352094e-12       7.791143360462e-13      -5.002778271389e-15 
  133       5.115187077997e-10       1.488405041781e-13      -5.683765751580e-12       0.000000000000e+00       4.697339282533e-12       7.665481127061e-13      -4.929561602475e-15 
  134       5.161832779976e-10       1.492660953162e-13      -5.736065514368e-12       0.000000000000e+00       4.600163460462e-12       7.542909824459e-13      -4.857612832599e-15 
  135       5.208437724302e-10       1.496257591282e-13      -5.786039271076e-12       0.000000000000e+00       4.505521395607e-12       7.423319669999e-13      -4.787170845451e-15 
  136       5.254986041868e-10       1.499191112550e-13      -5.833621341813e-12       0.000000000000e+00       4.413216008624e-12       7.306580266394e-13      -4.718481345919e-15 
  137       5.301462344332e-10       1.501458638205e-13      -5.878747323253e-12       0.000000000000e+00       4.323070453027e-12       7.192566647425e-13      -4.651736772853e-15 
  138       5.347856036720e-10       1.503059136744e-13      -5.921356065725e-12       0.000000000000e+00       4.235059495153e-12       7.081241505091e-13      -4.586888888125e-15 
  139       5.394157415173e-10       1.503992663445e-13      -5.961387968910e-12       0.000000000000e+00       4.149190870122e-12       6.972580571969e-13      -4.523816822148e-15 
  140       5.440356305769e-10       1.504260108084e-13      -5.998784416292e-12       0.000000000000e+00       4.065463977265e-12       6.866546520088e-13      -4.462385166689e-15 
  141       5.486442053313e-10       1.503863212632e-13      -6.033487814582e-12       0.000000000000e+00       3.983869662146e-12       6.763088634203e-13      -4.402443655323e-15 
  142       5.532403510118e-10       1.502804588960e-13      -6.065441633138e-12       0.000000000000e+00       3.904389998586e-12       6.662142485057e-13      -4.343826843878e-15 
  143       5.578229024787e-10       1.501087736535e-13      -6.094590443387e-12       0.000000000000e+00       3.826998070681e-12       6.563629602663e-13      -4.286353790885e-15 
  144       5.623906431001e-10       1.498717060117e-13      -6.120879958243e-12       0.000000000000e+00       3.751657754831e-12       6.467457149562e-13      -4.229827738029e-15 
  145       5.669423036296e-10       1.495697887467e-13      -6.144257071534e-12       0.000000000000e+00       3.678323501752e-12       6.373517594104e-13      -4.174035790596e-15 
